family,specialization,compile_spec_hash,comparison_semantic_key,symbol_sha256,threads_per_cta,gpr_452,gpr_460,gpr_delta,r_set_452,r_set_460,r_count_452,r_count_460,r_count_delta,r_max_452,r_max_460,r_max_delta,ur_set_452,ur_set_460,ur_count_452,ur_count_460,ur_count_delta,ur_max_452,ur_max_460,ur_max_delta,p_set_452,p_set_460,p_count_452,p_count_460,p_count_delta,p_max_452,p_max_460,p_max_delta,up_set_452,up_set_460,up_count_452,up_count_460,up_count_delta,up_max_452,up_max_460,up_max_delta,effective_ceiling_452,effective_ceiling_460,effective_ceiling_delta,reconfig_452,reconfig_460,frame_bytes_452,frame_bytes_460,frame_bytes_delta,stack_bytes_452,stack_bytes_460,stack_bytes_delta,ldl_452,ldl_460,ldl_delta,stl_452,stl_460,stl_delta,local_452,local_460,dynamic_smem_bytes_452,dynamic_smem_bytes_460,dynamic_smem_bytes_delta,static_smem_bytes_452,static_smem_bytes_460,static_smem_bytes_delta,total_smem_bytes_452,total_smem_bytes_460,total_smem_bytes_delta,active_ctas_per_sm_452,active_ctas_per_sm_460,active_ctas_per_sm_delta,active_threads_per_sm_452,active_threads_per_sm_460,active_threads_per_sm_delta,sass_instructions_452,sass_instructions_460,sass_instructions_delta,code_bytes_452,code_bytes_460,code_bytes_delta,flags
attention.contiguous.forward,contiguous.fixed,9809517d008eb5113056aca8f5db06a31cf7315bade4885e5d50ff3a2682cca7,3e71ac3c584fa6050a4fb0b084fda5edc31ecbcd0ef42e5c1e0566d6c26734f1,80be880b25f5c52c6c37f4c7d29bf0d25f1547e7e3c8b0dc142b8282aaa0f1ac,160,248,248,0,0-116;118;120-158;160;162;164;166;168;170;172;174,0-156;158;160;162;164;166;168;170;172;174;176,165,167,2,174,176,2,4-14;16;18-19,4-20,14,17,3,19,20,1,0-6,0-6,7,7,0,6,6,0,0-1,0-1,2,2,0,1,1,0,248,248,0,D:80|A:248,D:80|A:248,0,0,0,0,0,0,0,0,0,0,0,0,false,false,50176,50176,0,0,0,0,50176,50176,0,1,1,0,160,160,0,1688,1648,-40,27008,26368,-640,R+;UR+;reg-set-change
attention.contiguous.forward,contiguous.typed_smem_boundary,555844a77dd811f5d0671bb837ba04788eb0419cd823a8f2bde85d67b01d1ef4,4fffc3cdf5627e8b3d775bbcec57d7c4760393362f34ebd6aea03672ab4692d9,3ab1c7546476020aa961ff52d769c052cf837d34bc4f68a877ec7e474d151296,160,248,248,0,0-166;168-183,0-180;182;184-187,183,186,3,183,187,4,4-16;18-44,4-44;46;48;50;52-59,40,52,12,44,59,15,0-2,0-2,3,3,0,2,2,0,0,0,1,1,0,0,0,0,248,248,0,D:80|A:248,D:80|A:248,0,0,0,0,0,0,0,0,0,0,0,0,false,false,99328,99328,0,0,0,0,99328,99328,0,1,1,0,160,160,0,1504,1376,-128,24064,22016,-2048,R+;UR+;reg-set-change
attention.contiguous.varlen_forward,contiguous.varlen,61073abba7f383df4334e5196e0c5ced260c4b18bd4b63edb94d037bccdcac7a,5442306dc201f54fe5d8c5f9f5f35b6e4a38013254616ad9b2f5b83548921d40,f9f59102000b6f8b8760142aa4b44dbb2f9bf4634ba094734f7ffefae9e76f9b,160,248,248,0,0-245,0-245,246,246,0,245,245,0,4-23,4-23,20,20,0,23,23,0,0-6,0-6,7,7,0,6,6,0,0-2,0-2,3,3,0,2,2,0,248,248,0,D:80|A:248,D:80|A:248,0,0,0,0,0,0,0,0,0,0,0,0,false,false,50176,50176,0,0,0,0,50176,50176,0,1,1,0,160,160,0,9320,9296,-24,149120,148736,-384,
attention.indexer.contiguous_block_scores,,192540422d6b74e00db7c15f7fac1a5c9672153d8d75c4d7f24edcfbdd27f692,83320bfff1a174913c7ec8ad4bc6105b4fa6a366e30f457adf625f1b5a3859a3,d7014158a9646fc5dbe7c7ca55a74f83b2b56b1a0454cd515c1550228cc1572f,256,128,127,-1,0-42;44-48;50;52;54;56-58;60;62;64-125,0-36;38;40-52;54;56-124,118,121,3,125,124,-1,4-12,4-12,9,9,0,12,12,0,0-6,0-6,7,7,0,6,6,0,0,0,1,1,0,0,0,0,128,127,-1,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,76800,76800,0,0,0,0,76800,76800,0,1,1,0,256,256,0,3376,3296,-80,54016,52736,-1280,R+;reg-set-change
attention.indexer.contiguous_logits,,517cd51e328d79745afc5d5aafbcc74bcabfd215c1b4014d6521f2f726720d54,d43bca87596a64872dd439ad5bf7319f8cac936032c61a7fdfd28783d7174d2a,1834cdb0b7562e339741aaa3c55aa8a010a53f23cf17b1c4f16cb2da8b0cc48f,256,48,48,0,0-42;44-45,0-42;44-45,45,45,0,45,45,0,4-16;18-19,4-16;18-19,15,15,0,19,19,0,0-6,0-6,7,7,0,6,6,0,0,0,1,1,0,0,0,0,48,48,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,10240,10240,0,0,0,0,10240,10240,0,5,5,0,1280,1280,0,736,752,16,11776,12032,256,SASS-inst+;code+
attention.indexer.contiguous_logits,,236964e34344b2d0c350d25c55cbc8410df803dac8c5b9d039f7c887bc648395,fd253b0d4b9b3f30f169a2fe613f6b4bbe8397425c17a857a4460c392048235d,aa1570e9b74c44b3adbea26cef7d4bcdb59e3053b14e6b3cf765ef45490abbf2,256,125,123,-2,0-52;54;56;58;60;62;64;66;68;70;72-122,0-52;54;56;58;60;62;64;66;68;70;72-120,113,111,-2,122,120,-2,4-12;14-15,4-12;14-15,11,11,0,15,15,0,0-6,0-6,7,7,0,6,6,0,0,0,1,1,0,0,0,0,125,123,-2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,76800,76800,0,0,0,0,76800,76800,0,1,1,0,256,256,0,3336,3400,64,53376,54400,1024,reg-set-change;SASS-inst+;code+
attention.indexer.contiguous_logits,,9333322e702d20e062008e7eece2ed2031ecbc4fa9043b9625d28c738a20b0d6,05aa4ca048e242bfaab7647751d4fb8f5f2a597523337f282ec52b4d808b2c7e,aa1570e9b74c44b3adbea26cef7d4bcdb59e3053b14e6b3cf765ef45490abbf2,256,168,160,-8,0-84;86;88;90;92;94;96;98;100;102;104;108;110;112-165,0-80;82;84;86;88;90;92;94;96;98;100-153;155;157,151,146,-5,165,157,-8,4-14;16,4-12;14,12,10,-2,16,14,-2,0-6,0-6,7,7,0,6,6,0,0,0,1,1,0,0,0,0,168,160,-8,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,76800,76800,0,0,0,0,76800,76800,0,1,1,0,256,256,0,1656,1720,64,26496,27520,1024,reg-set-change;SASS-inst+;code+
attention.indexer.contiguous_logits,,829e1e1a13cd41d31274a3cfdff01d52d92ba5187989b495d26947ecb68fec02,5f2ef6d41d28a6388467918df093e2dfad41585478bcd14db7b9776ca878b639,eb1d91063e333eb5185152d389af82af8909f5c8aa3a76cd5150ca831d196165,256,184,184,0,0-152;154;156-181,0-152;154;156-181,180,180,0,181,181,0,4-12;14-21,4-12;14-15,17,11,-6,21,15,-6,0-6,0-6,7,7,0,6,6,0,0-1,0-1,2,2,0,1,1,0,184,184,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,97280,97280,0,0,0,0,97280,97280,0,1,1,0,256,256,0,6760,6872,112,108160,109952,1792,reg-set-change;SASS-inst+;code+
attention.indexer.fused_indexer,,433ac62e77cdd0592ba49ca21746cd270317f0e59ddbf7d42002a7f2f3938371,28347b21b2670434e2f84ccb1ea1fbf6c94fa56b47aa22c0f3c9cf690f708a1d,38b0b26658cf0960f6fc618af5fd706e2937f7d1a88f2b2f1d4d63c5322cb25e,1024,61,59,-2,0-25;28-58,0-25;28-56,57,55,-2,58,56,-2,4-8;10-15,4-6;8-15,11,11,0,15,15,0,0-6,0-6,7,7,0,6,6,0,,,0,0,0,-1,-1,0,61,59,-2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,56320,56320,0,0,0,0,56320,56320,0,1,1,0,1024,1024,0,6552,6304,-248,104832,100864,-3968,reg-set-change
attention.indexer.paged_logits,,01fdad91dca0e1c16cac35242077aa74e983e16b8414ec17d3e2a38c2a5409e8,c6f8801cd561a09d1889b70f73004e4f8b67c5c02a59f7bbc67eb6831071afae,acd5ef1f53ff002eedec4cdafeefb7f0d71b46dedbef693967e2c58f4d673e47,128,46,40,-6,0-34;36-38;40-41,0-37,40,38,-2,41,37,-4,4-26;28;30;32-48,4-22;24;26;28-42,42,36,-6,48,42,-6,0-2,0-4,3,5,2,2,4,2,0-2,0-2,3,3,0,2,2,0,46,40,-6,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,20480,20480,0,0,0,0,20480,20480,0,4,4,0,512,512,0,664,632,-32,10624,10112,-512,P+;reg-set-change
