report_sha256,gpu_index,gpu_uuid,m,condition,a_trimmed_mean_us,b_trimmed_mean_us,b_over_a,improvement_pct,a_count,b_count,sm_clock_delta_mhz,throttle_before,throttle_after,source_fingerprint,a_object_sha256,b_object_sha256
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,8192,cold_l2,6490.315387200336,6420.565876182245,0.9892532940455182,1.0746705954481794,1000,1000,30.0,4,0,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,8192,warm_l2,6359.9756051083,6291.848252744091,0.9892881110566698,1.0711888943330194,1000,1000,15.0,0,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,16384,cold_l2,13390.725460831,13241.767803503542,0.9888760577040302,1.1123942295969802,1000,1000,15.0,4,0,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,16384,warm_l2,13255.32834091965,13108.018404123735,0.9888867379964354,1.111326200356455,1000,1000,60.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,24576,cold_l2,19986.83880591879,19763.014538434087,0.9888014172897407,1.1198582710259308,1000,1000,7.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,24576,warm_l2,20015.305945338034,19791.370530031167,0.9888117915400126,1.1188208459987359,1000,1000,8.0,4,0,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,32768,cold_l2,26488.743783989732,26199.921639111577,0.9890964197006306,1.0903580299369442,1000,1000,8.0,0,0,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
c9f68d7ab1ffd216fb73c73005c1fc5aebebac5bd744a4fc5abd2add8e4322f5,4,c7dc46e0-30bb-08e8-2ebb-f164ec57ce31,32768,warm_l2,26539.890258166255,26246.723883492607,0.9889537457833518,1.1046254216648177,1000,1000,15.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,8192,cold_l2,6356.170937966327,6291.468870883085,0.9898205904600886,1.0179409539911366,1000,1000,15.0,0,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,8192,warm_l2,6298.900277273996,6231.6532524264585,0.9893240054791532,1.0675994520846777,1000,1000,15.0,0,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,16384,cold_l2,13201.655021978884,13054.87587695219,0.9888817618107482,1.111823818925184,1000,1000,7.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,16384,warm_l2,13006.115329508879,12863.823178349709,0.989059596385684,1.094040361431603,1000,1000,52.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,24576,cold_l2,19695.84943421033,19478.997759916343,0.9889899811115874,1.1010018888412576,1000,1000,15.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,24576,warm_l2,19729.890529476867,19510.86987670587,0.988899043689889,1.1100956310110988,1000,1000,7.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,32768,cold_l2,26144.352564519766,25860.683316600567,0.9891498843882573,1.085011561174265,1000,1000,7.0,4,4,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
ed20f1a88c9765be72d977a5c407c9061979f22ddeb67017f999036ae7942100,5,a0816187-68b2-b679-587f-0e56bac804f5,32768,warm_l2,26147.226608042813,25862.834619016063,0.9891234357934057,1.087656420659433,1000,1000,38.0,0,0,c0ddfc8e639d4a9f1ffdb84fac75f217bf67895d113325293a25e414a6d5113f,11862de45b4d85a8e3392bf48fd1486763c6d7fefb1cd2a540913e2c32094de3,23ac8ff5bc66dcd20a7aeb8723f523a1fb16a4eee9f282d3a12c7c2b10c5f4e6
